"cuestionario_individual_id","cuestionario_hogar_id","estado_entrevista","region","tipo_de_residencia"
"000102201  2","102201",1,"Amazonas","urbano"
"000105201  2","105201",1,"Amazonas","urbano"
"000105201  3","105201",1,"Amazonas","urbano"
"000105201  4","105201",1,"Amazonas","urbano"
"000105301  1","105301",1,"Amazonas","urbano"
"000105301  2","105301",1,"Amazonas","urbano"
"000108301  2","108301",1,"Amazonas","urbano"
"000108301  5","108301",1,"Amazonas","urbano"
"000108501  2","108501",1,"Amazonas","urbano"
"000110301  2","110301",1,"Amazonas","urbano"
"000110701  2","110701",1,"Amazonas","urbano"
"000300601  1","300601",1,"Amazonas","urbano"
"000300601  3","300601",1,"Amazonas","urbano"
"000301201  2","301201",1,"Amazonas","urbano"
"000301201  3","301201",1,"Amazonas","urbano"
"000302201  2","302201",1,"Amazonas","urbano"
"000306001  2","306001",1,"Amazonas","urbano"
"000307101  2","307101",1,"Amazonas","urbano"
"000307201  2","307201",1,"Amazonas","urbano"
"000308901  1","308901",1,"Amazonas","urbano"
"000313801  2","313801",1,"Amazonas","urbano"
"000601501  2","601501",1,"Amazonas","urbano"
"000602501  2","602501",1,"Amazonas","urbano"
"000603801  1","603801",1,"Amazonas","urbano"
"000611901  1","611901",1,"Amazonas","urbano"
"000611901  4","611901",1,"Amazonas","urbano"
"000615801  1","615801",1,"Amazonas","urbano"
"000615801  2","615801",1,"Amazonas","urbano"
"000617601  1","617601",1,"Amazonas","urbano"
"000617601  4","617601",1,"Amazonas","urbano"
"000617601  6","617601",1,"Amazonas","urbano"
"000701001  2","701001",1,"Amazonas","urbano"
"000701901  2","701901",1,"Amazonas","urbano"
"000704801  2","704801",1,"Amazonas","urbano"
"000705201  2","705201",1,"Amazonas","urbano"
"000705701  2","705701",1,"Amazonas","urbano"
"000707801  2","707801",1,"Amazonas","urbano"
"000708801  2","708801",1,"Amazonas","urbano"
"000804501  2","804501",1,"Amazonas","urbano"
"000804501  5","804501",1,"Amazonas","urbano"
"000805601  3","805601",1,"Amazonas","urbano"
"000813201  2","813201",1,"Amazonas","urbano"
"000815001  2","815001",1,"Amazonas","urbano"
"000900601  3","900601",1,"Amazonas","urbano"
"000904701  3","904701",1,"Amazonas","urbano"
"000907101  2","907101",1,"Amazonas","urbano"
"000909301  2","909301",1,"Amazonas","urbano"
"000910301  1","910301",1,"Amazonas","urbano"
"000910301  3","910301",1,"Amazonas","urbano"
"000910301  4","910301",1,"Amazonas","urbano"
"000911101  2","911101",1,"Amazonas","urbano"
"000912201  2","912201",1,"Amazonas","urbano"
"001000901  1","1000901",1,"Amazonas","urbano"
"001003401  2","1003401",1,"Amazonas","urbano"
"001003401  3","1003401",1,"Amazonas","urbano"
"001005201  2","1005201",1,"Amazonas","urbano"
"001005201  5","1005201",1,"Amazonas","urbano"
"001006301  2","1006301",1,"Amazonas","urbano"
"001006601  3","1006601",1,"Amazonas","urbano"
"001007001  1","1007001",1,"Amazonas","urbano"
"001104001  2","1104001",1,"Amazonas","urbano"
"001106401  2","1106401",1,"Amazonas","urbano"
"001106401  5","1106401",1,"Amazonas","urbano"
"001106401  7","1106401",1,"Amazonas","urbano"
"001108201  3","1108201",1,"Amazonas","urbano"
"001108401  2","1108401",1,"Amazonas","urbano"
"001108401  3","1108401",1,"Amazonas","urbano"
"001202701  2","1202701",1,"Amazonas","urbano"
"001204801  2","1204801",1,"Amazonas","urbano"
"001204801  3","1204801",1,"Amazonas","urbano"
"001205101  1","1205101",1,"Amazonas","urbano"
"001205101  3","1205101",1,"Amazonas","urbano"
"001207401  1","1207401",1,"Amazonas","urbano"
"001207401  2","1207401",1,"Amazonas","urbano"
"001207401  3","1207401",1,"Amazonas","urbano"
"001210901  1","1210901",1,"Amazonas","urbano"
"001210901  2","1210901",1,"Amazonas","urbano"
"001212601  2","1212601",1,"Amazonas","urbano"
"001301401  2","1301401",1,"Amazonas","urbano"
"001301401  3","1301401",1,"Amazonas","urbano"
"001302101  2","1302101",1,"Amazonas","urbano"
"001304401  4","1304401",1,"Amazonas","urbano"
"001304401  7","1304401",1,"Amazonas","urbano"
"001304501  3","1304501",1,"Amazonas","urbano"
"001304502  2","1304502",1,"Amazonas","urbano"
"001304503  2","1304503",1,"Amazonas","urbano"
"001304601  2","1304601",1,"Amazonas","urbano"
"001305601  2","1305601",1,"Amazonas","urbano"
"001305601  3","1305601",1,"Amazonas","urbano"
"001306101  2","1306101",1,"Amazonas","urbano"
"001309001  2","1309001",1,"Amazonas","urbano"
"001501701  2","1501701",1,"Amazonas","urbano"
"001502201  1","1502201",1,"Amazonas","urbano"
"001502201  2","1502201",1,"Amazonas","urbano"
"001502201  3","1502201",1,"Amazonas","urbano"
"001502401  1","1502401",1,"Amazonas","urbano"
"001502501  4","1502501",1,"Amazonas","urbano"
"001506901  1","1506901",1,"Amazonas","urbano"
"001506901  2","1506901",1,"Amazonas","urbano"
"001509201  2","1509201",1,"Amazonas","urbano"
"001512401  2","1512401",1,"Amazonas","urbano"
"001513101  1","1513101",1,"Amazonas","urbano"
"001513102  2","1513102",1,"Amazonas","urbano"
"001601801  2","1601801",1,"Amazonas","urbano"
"001604101  2","1604101",1,"Amazonas","urbano"
"001604101  4","1604101",1,"Amazonas","urbano"
"001605001  1","1605001",1,"Amazonas","urbano"
"001605501  1","1605501",1,"Amazonas","urbano"
"001607001  1","1607001",1,"Amazonas","urbano"
"001607001  4","1607001",1,"Amazonas","urbano"
"001607701  2","1607701",1,"Amazonas","urbano"
"001608101  2","1608101",1,"Amazonas","urbano"
"001700901  2","1700901",1,"Amazonas","urbano"
"001701501  1","1701501",1,"Amazonas","urbano"
"001703701  2","1703701",1,"Amazonas","urbano"
"001703701  4","1703701",1,"Amazonas","urbano"
"001706401  2","1706401",1,"Amazonas","urbano"
"001710401  2","1710401",1,"Amazonas","urbano"
"001710402  2","1710402",1,"Amazonas","urbano"
"001712501  2","1712501",1,"Amazonas","urbano"
"001712501  5","1712501",1,"Amazonas","urbano"
"001714901  2","1714901",1,"Amazonas","urbano"
"001801601  2","1801601",1,"Amazonas","urbano"
