"cuestionario_hogar_id","personas_en_el_hogar","estado_entrevista"
"101701",4,"1"
"102201",3,"1"
"105201",5,"1"
"105301",4,"1"
"105501",2,"1"
"108301",5,"1"
"108501",5,"1"
"110301",3,"1"
"110701",4,"1"
"300601",5,"1"
"301201",4,"1"
"302201",6,"1"
"306001",4,"1"
"307101",3,"1"
"307201",3,"1"
"308901",1,"1"
"309701",4,"1"
"312501",1,"1"
"313801",5,"1"
"601501",4,"1"
"602501",4,"1"
"603801",4,"1"
"606201",2,"1"
"611901",7,"1"
"615801",3,"1"
"617601",9,"1"
"618001",2,"1"
"700801",1,"1"
"701001",4,"1"
"701901",4,"1"
"703401",1,"1"
"704801",4,"1"
"705201",2,"1"
"705401",2,"1"
"705701",5,"1"
"707801",4,"1"
"708801",4,"1"
"804501",5,"1"
"805601",6,"1"
"806201",3,"1"
"811301",2,"1"
"811401",6,"1"
"813201",5,"1"
"815001",4,"1"
"900601",3,"1"
"904701",4,"1"
"907101",8,"1"
"909301",3,"1"
"910301",6,"1"
"911101",5,"1"
"912201",4,"1"
"1000901",3,"1"
"1003401",5,"1"
"1004601",1,"1"
"1005201",5,"1"
"1005901",1,"1"
"1006301",3,"1"
"1006601",4,"1"
"1007001",2,"1"
"1007901",2,"1"
"1009301",2,"1"
"1104001",3,"1"
"1105301",4,"1"
"1106401",7,"1"
"1108201",3,"1"
"1108401",4,"1"
"1109801",3,"1"
"1110201",3,"1"
"1110401",1,"1"
"1200801",3,"1"
"1202701",3,"1"
"1204801",5,"1"
"1205101",3,"1"
"1207401",4,"1"
"1208801",2,"1"
"1210901",4,"1"
"1211301",2,"1"
"1212601",3,"1"
"1301401",4,"1"
"1302101",4,"1"
"1303801",4,"1"
"1304401",7,"1"
"1304501",3,"1"
"1304502",5,"1"
"1304503",4,"1"
"1304601",4,"1"
"1305601",4,"1"
"1306101",4,"1"
"1309001",3,"1"
"1309901",2,"1"
"1501701",3,"1"
"1502201",6,"1"
"1502401",2,"1"
"1502501",5,"1"
"1505801",1,"1"
"1506901",5,"1"
"1509201",5,"1"
"1512401",4,"1"
"1513101",4,"1"
"1513102",2,"1"
"1601801",3,"1"
"1603101",2,"1"
"1604001",3,"1"
"1604101",5,"1"
"1605001",3,"1"
"1605501",3,"1"
"1606101",3,"1"
"1607001",6,"1"
"1607701",4,"1"
"1608101",2,"1"
"1700901",5,"1"
"1701501",2,"1"
"1703701",4,"1"
"1704901",3,"1"
"1706401",4,"1"
"1710401",6,"1"
"1710402",3,"1"
"1712501",6,"1"
"1712601",3,"1"
"1714901",3,"1"
"1801601",6,"1"
"1802001",2,"1"
"1803001",4,"1"
"1803201",6,"1"
"1804501",4,"1"
"1806801",7,"1"
"1807101",5,"1"
"1807601",3,"1"
"1808301",2,"1"
"2001501",5,"1"
"2004101",2,"1"
"2005501",2,"1"
"2005601",3,"1"
"2007801",3,"1"
"2009501",4,"1"
"2012101",3,"1"
"2013001",3,"1"
"2013801",3,"1"
"2101501",4,"1"
"2103501",3,"1"
"2104501",3,"1"
"2105201",3,"1"
"2106101",6,"1"
"2106901",1,"1"
"2107401",5,"1"
"2110801",3,"1"
"2111501",4,"1"
"2112001",4,"1"
"2200801",4,"1"
"2202001",2,"1"
"2202101",3,"1"
"2203701",4,"1"
"2207901",3,"1"
"2209301",4,"1"
"2210601",3,"1"
"2210901",5,"1"
"2213501",3,"1"
"2301201",4,"1"
"2301301",2,"1"
"2305001",2,"1"
"2305101",7,"1"
"2306301",5,"1"
"2307801",3,"1"
"2308301",4,"1"
"2312001",4,"1"
"2700901",4,"1"
"2701601",3,"1"
"2702101",4,"1"
"2702601",2,"1"
"2704701",2,"1"
"2705501",5,"1"
"2707201",5,"1"
"2708501",1,"1"
"2901401",9,"1"
"2901601",3,"1"
"2901801",6,"1"
"2901901",2,"1"
"2902001",2,"1"
"2902201",7,"1"
"2902301",6,"1"
"2902501",3,"1"
"2902601",9,"1"
"2908401",7,"1"
"2908501",7,"1"
"2908701",4,"1"
"2908801",2,"1"
"2908901",1,"1"
"3001301",3,"1"
"3001401",8,"1"
"3001501",3,"1"
"3001601",5,"1"
"3014001",6,"1"
"3014401",4,"1"
"3014501",1,"1"
"3014601",5,"1"
"3014701",1,"1"
"3017301",5,"1"
"3017401",4,"1"
"3017501",6,"1"
"3017601",8,"1"
"3017701",6,"1"
"3100201",3,"1"
"3100301",5,"1"
"3100401",6,"1"
"3100501",3,"1"
"3101601",8,"1"
"3101701",5,"1"
"3101801",3,"1"
"3102001",4,"1"
"3116201",6,"1"
"3116301",3,"1"
"3116401",3,"1"
"3116501",4,"1"
"3117301",10,"1"
"3308601",7,"1"
"3308701",6,"1"
"3308801",7,"1"
"3308901",2,"1"
"3309001",5,"1"
"3309501",6,"1"
"3309701",8,"1"
"3309801",6,"1"
"3309901",3,"1"
"3310001",6,"1"
"3303001",4,"1"
"3303101",7,"1"
"3303201",4,"1"
"3303301",5,"1"
"3303401",3,"1"
"3401201",4,"1"
"3401301",2,"1"
"3401401",6,"1"
"3401501",5,"1"
"3401601",4,"1"
"3405501",6,"1"
"3405601",4,"1"
"3405901",3,"1"
"3406001",4,"1"
"3406201",6,"1"
"3406401",4,"1"
"3406501",4,"1"
"3406601",5,"1"
"3406701",1,"1"
"3406801",5,"1"
"3502001",6,"1"
"3502101",4,"1"
"3502201",1,"1"
"3502301",7,"1"
"3502401",3,"1"
"3504501",7,"1"
"3504601",7,"1"
