"cuestionario_hogar_id","HV201","indice_riqueza"
"101701",11,"4.rico"
"102201",11,"5.muy_rico"
"105201",11,"4.rico"
"105301",11,"3.medio"
"105501",11,"3.medio"
"108301",11,"3.medio"
"108501",11,"5.muy_rico"
"110301",11,"2.pobre"
"110701",11,"5.muy_rico"
"300601",11,"5.muy_rico"
"301201",11,"3.medio"
"302201",11,"2.pobre"
"306001",11,"5.muy_rico"
"307101",11,"4.rico"
"307201",11,"2.pobre"
"308901",11,"2.pobre"
"309701",11,"2.pobre"
"312501",12,"1.muy_pobre"
"313801",11,"2.pobre"
"601501",11,"4.rico"
"602501",11,"2.pobre"
"603801",11,"3.medio"
"606201",11,"2.pobre"
"611901",11,"3.medio"
"615801",11,"4.rico"
"617601",11,"2.pobre"
"618001",11,"2.pobre"
"700801",11,"2.pobre"
"701001",11,"2.pobre"
"701901",11,"3.medio"
"703401",11,"3.medio"
"704801",11,"3.medio"
"705201",11,"2.pobre"
"705401",11,"2.pobre"
"705701",11,"2.pobre"
"707801",11,"2.pobre"
"708801",51,"2.pobre"
"804501",12,"1.muy_pobre"
"805601",71,"1.muy_pobre"
"806201",11,"2.pobre"
"811301",11,"2.pobre"
"811401",11,"2.pobre"
"813201",13,"2.pobre"
"815001",13,"1.muy_pobre"
"900601",71,"3.medio"
"904701",11,"1.muy_pobre"
"907101",11,"2.pobre"
"909301",11,"2.pobre"
"910301",11,"2.pobre"
"911101",11,"2.pobre"
"912201",71,"2.pobre"
"1000901",11,"2.pobre"
"1003401",11,"2.pobre"
"1004601",11,"2.pobre"
"1005201",11,"2.pobre"
"1005901",11,"1.muy_pobre"
"1006301",11,"2.pobre"
"1006601",71,"2.pobre"
"1007001",11,"3.medio"
"1007901",71,"3.medio"
"1009301",96,"2.pobre"
"1104001",11,"2.pobre"
"1105301",11,"4.rico"
"1106401",11,"1.muy_pobre"
"1108201",11,"2.pobre"
"1108401",96,"2.pobre"
"1109801",11,"2.pobre"
"1110201",11,"3.medio"
"1110401",11,"3.medio"
"1200801",11,"3.medio"
"1202701",71,"3.medio"
"1204801",71,"5.muy_rico"
"1205101",11,"2.pobre"
"1207401",11,"2.pobre"
"1208801",11,"2.pobre"
"1210901",11,"2.pobre"
"1211301",71,"4.rico"
"1212601",71,"2.pobre"
"1301401",11,"2.pobre"
"1302101",11,"1.muy_pobre"
"1303801",11,"2.pobre"
"1304401",11,"3.medio"
"1304501",11,"2.pobre"
"1304502",11,"1.muy_pobre"
"1304503",11,"1.muy_pobre"
"1304601",11,"2.pobre"
"1305601",71,"2.pobre"
"1306101",11,"2.pobre"
"1309001",11,"1.muy_pobre"
"1309901",11,"2.pobre"
"1501701",71,"5.muy_rico"
"1502201",71,"2.pobre"
"1502401",11,"2.pobre"
"1502501",71,"5.muy_rico"
"1505801",71,"4.rico"
"1506901",11,"4.rico"
"1509201",11,"2.pobre"
"1512401",11,"4.rico"
"1513101",11,"2.pobre"
"1513102",11,"2.pobre"
"1601801",71,"3.medio"
"1603101",71,"1.muy_pobre"
"1604001",11,"3.medio"
"1604101",11,"3.medio"
"1605001",11,"2.pobre"
"1605501",71,"3.medio"
"1606101",71,"2.pobre"
"1607001",11,"2.pobre"
"1607701",71,"2.pobre"
"1608101",71,"2.pobre"
"1700901",11,"2.pobre"
"1701501",96,"2.pobre"
"1703701",11,"3.medio"
"1704901",11,"2.pobre"
"1706401",96,"2.pobre"
"1710401",11,"2.pobre"
"1710402",11,"2.pobre"
"1712501",11,"3.medio"
"1712601",11,"4.rico"
"1714901",11,"4.rico"
"1801601",11,"4.rico"
"1802001",12,"2.pobre"
"1803001",11,"2.pobre"
"1803201",11,"3.medio"
"1804501",11,"2.pobre"
"1806801",11,"2.pobre"
"1807101",71,"5.muy_rico"
"1807601",11,"3.medio"
"1808301",71,"2.pobre"
"2001501",11,"3.medio"
"2004101",11,"2.pobre"
"2005501",96,"1.muy_pobre"
"2005601",11,"2.pobre"
"2007801",11,"3.medio"
"2009501",11,"3.medio"
"2012101",11,"3.medio"
"2013001",12,"2.pobre"
"2013801",11,"1.muy_pobre"
"2101501",11,"2.pobre"
"2103501",96,"2.pobre"
"2104501",11,"3.medio"
"2105201",11,"2.pobre"
"2106101",11,"2.pobre"
"2106901",11,"2.pobre"
"2107401",11,"2.pobre"
"2110801",11,"2.pobre"
"2111501",11,"2.pobre"
"2112001",11,"2.pobre"
"2200801",11,"2.pobre"
"2202001",11,"3.medio"
"2202101",11,"2.pobre"
"2203701",71,"5.muy_rico"
"2207901",96,"1.muy_pobre"
"2209301",11,"2.pobre"
"2210601",11,"2.pobre"
"2210901",11,"2.pobre"
"2213501",11,"1.muy_pobre"
"2301201",11,"2.pobre"
"2301301",11,"1.muy_pobre"
"2305001",11,"2.pobre"
"2305101",11,"2.pobre"
"2306301",71,"2.pobre"
"2307801",11,"1.muy_pobre"
"2308301",11,"2.pobre"
"2312001",11,"2.pobre"
"2700901",11,"3.medio"
"2701601",11,"2.pobre"
"2702101",11,"4.rico"
"2702601",11,"3.medio"
"2704701",11,"2.pobre"
"2705501",12,"2.pobre"
"2707201",11,"2.pobre"
"2708501",11,"2.pobre"
"2901401",43,"1.muy_pobre"
"2901601",41,"1.muy_pobre"
"2901801",41,"1.muy_pobre"
"2901901",41,"1.muy_pobre"
"2902001",41,"1.muy_pobre"
"2902201",41,"1.muy_pobre"
"2902301",41,"1.muy_pobre"
"2902501",41,"1.muy_pobre"
"2902601",41,"1.muy_pobre"
"2908401",11,"1.muy_pobre"
"2908501",11,"1.muy_pobre"
"2908701",96,"2.pobre"
"2908801",11,"1.muy_pobre"
"2908901",96,"1.muy_pobre"
"3001301",41,"1.muy_pobre"
"3001401",41,"1.muy_pobre"
"3001501",41,"1.muy_pobre"
"3001601",41,"1.muy_pobre"
"3014001",11,"1.muy_pobre"
"3014401",96,"1.muy_pobre"
"3014501",11,"1.muy_pobre"
"3014601",11,"1.muy_pobre"
"3014701",41,"1.muy_pobre"
"3017301",11,"1.muy_pobre"
"3017401",11,"1.muy_pobre"
"3017501",11,"1.muy_pobre"
"3017601",11,"1.muy_pobre"
"3017701",11,"1.muy_pobre"
"3100201",41,"1.muy_pobre"
"3100301",41,"1.muy_pobre"
"3100401",41,"1.muy_pobre"
"3100501",96,"1.muy_pobre"
"3101601",43,"1.muy_pobre"
"3101701",41,"1.muy_pobre"
"3101801",43,"1.muy_pobre"
"3102001",41,"1.muy_pobre"
"3116201",41,"1.muy_pobre"
"3116301",41,"1.muy_pobre"
"3116401",41,"1.muy_pobre"
"3116501",41,"1.muy_pobre"
"3117301",41,"1.muy_pobre"
"3303001",11,"3.medio"
"3303101",11,"1.muy_pobre"
"3303201",11,"1.muy_pobre"
"3303301",11,"1.muy_pobre"
"3303401",11,"1.muy_pobre"
"3308601",11,"1.muy_pobre"
"3308701",11,"1.muy_pobre"
"3308801",11,"1.muy_pobre"
"3308901",11,"1.muy_pobre"
"3309001",11,"1.muy_pobre"
"3309501",11,"1.muy_pobre"
"3309701",11,"1.muy_pobre"
"3309801",11,"1.muy_pobre"
"3309901",11,"2.pobre"
"3310001",11,"1.muy_pobre"
"3401201",41,"1.muy_pobre"
"3401301",41,"1.muy_pobre"
"3401401",41,"1.muy_pobre"
"3401501",41,"1.muy_pobre"
"3401601",41,"1.muy_pobre"
"3405501",11,"1.muy_pobre"
"3405601",11,"1.muy_pobre"
"3405901",96,"1.muy_pobre"
"3406001",41,"1.muy_pobre"
"3406201",41,"1.muy_pobre"
"3406401",96,"1.muy_pobre"
"3406501",11,"1.muy_pobre"
"3406601",11,"1.muy_pobre"
"3406701",11,"2.pobre"
"3406801",11,"2.pobre"
"3502001",11,"1.muy_pobre"
"3502101",11,"2.pobre"
"3502201",11,"1.muy_pobre"
"3502301",11,"1.muy_pobre"
"3502401",11,"1.muy_pobre"
"3504501",11,"1.muy_pobre"
"3504601",11,"1.muy_pobre"
"3504701",11,"1.muy_pobre"
"3504801",11,"1.muy_pobre"
"3505001",11,"1.muy_pobre"
"3508901",41,"1.muy_pobre"
"3509601",41,"1.muy_pobre"
"3509801",41,"1.muy_pobre"
"3603601",11,"2.pobre"
"3603701",11,"1.muy_pobre"
"3603901",11,"2.pobre"
"3604001",11,"2.pobre"
"3605401",11,"1.muy_pobre"
"3605501",11,"1.muy_pobre"
"3605601",11,"1.muy_pobre"
"3605701",11,"1.muy_pobre"
"3609301",11,"1.muy_pobre"
"3609401",11,"1.muy_pobre"
"3609501",41,"1.muy_pobre"
"3609601",11,"1.muy_pobre"
"3701701",11,"1.muy_pobre"
"3701801",11,"1.muy_pobre"
"3701901",43,"1.muy_pobre"
"3702101",11,"1.muy_pobre"
"3704701",11,"1.muy_pobre"
"3705001",96,"1.muy_pobre"
"3705101",11,"1.muy_pobre"
"3705201",11,"1.muy_pobre"
"3705301",11,"1.muy_pobre"
"3706201",11,"1.muy_pobre"
"3706501",11,"1.muy_pobre"
"3706601",11,"1.muy_pobre"
"3707201",11,"1.muy_pobre"
"3803501",11,"1.muy_pobre"
"3803601",11,"1.muy_pobre"
"3803901",11,"1.muy_pobre"
"3804201",11,"1.muy_pobre"
